Line Name,lambda min,lambda max ,ion,wvl,logT,intensity,ion1,wvl1,logT1,intensity1,ion2,wvl2,logT2,intensity2,ion3,wvl3,logT3,intensity3
Ly Beta 1025 - SH,102.289,102.866,H I,102.57,4.5,1.73E+05,,,,,,,,,,,,
Ly Beta 1025 - LH,102.289,102.866,H I,102.57,4.5,1.73E+05,,,,,,,,,,,,
Ly-gamma-CIII group (2/3),97.337,97.944,C III ,97.7,4.8,1.29E+06,Fe XVIII,97.49,6.9,4.51E+04,,,,,,,,
C III 977 - Peak,97.61,97.87,C III,97.7,4.8,1.29E+06,,,,,,,,,,,,
N IV 765 - SH,76.057,77.441,O V ,76.04,5.3,3.99E+04,N III,76.43,4.9,1.63E+04,N IV,76.51,5.1,1.18E+05,Ne VIII,77.04,5.8,1.37E+04
N IV 765 - LH,76.057,77.441,O V ,76.04,5.3,3.99E+04,N III,76.43,4.9,1.63E+04,N IV,76.51,5.1,1.18E+05,Ne VIII,77.04,5.8,1.37E+04
N III 991 - SH (lambda bin 2),98.766,99.363,N III,99.16,4.8,7.76E+04,,,,,,,,,,,,
N IV 765 - Peak,76.276,76.754,N IV,76.51,5.1,1.18E+05,N III,76.43,4.9,1.63E+04,,,,,,,,
O II 718 - Peak (spectral bin 2),71.629,72.097,O II ,71.85,4.7,3.36E+04,,,,,,,,,,,,
O III 703 / Mg IX 706 - SH (lambda bin 2),70.049,70.83,O III,70.39,4.9,1.20E+05,,,,,,,,,,,,
O III 703 / Mg IX 706 - LH,70.049,70.83,O III,70.39,4.9,1.20E+05,,,,,,,,,,,,
O VI 1032 - SH,102.914,103.491,O VI,103.47,5.4,9.37E+04,,,,,,,,,,,,
O VI 1032 - Peak,103.044,103.3616,O VI,103.19,5.4,9.37E+04,,,,,,,,,,,,
(Ref) O V 760 - SH,75.613,76.4,O V ,76.04,5.3,3.99E+04,,,,,,,,,,,,
Ne VIII 770 - SH,76.056,77.441,O V ,76.04,5.3,3.99E+04,N III,76.43,4.9,1.63E+04,N IV,76.51,5.1,1.18E+05,Ne VIII,77.04,5.8,1.37E+04
Ne VIII 770 - Peak,76.812,77.29,Ne VIII,77.041,5.8,1.37E+04,,,,,,,,,,,,
Ne VIII 770 - LH,76.056,77.441,O V ,76.04,5.3,3.99E+04,N III,76.43,4.9,1.63E+04,N IV,76.51,5.1,1.18E+05,Ne VIII,77.04,5.8,1.37E+04
Ne VIII 770 / Mg VIII 772 - SH,76.734,77.446,Ne VIII,77.04,5.8,1.37E+04,,,,,,,,,,,,
Ne VIII 780 / Mg VIII 782 - SH,77.739,78.51,,,,,,,,,,,,,,,,
Ne VIII 770 / Mg VIII 772 - LW,76.7344,77.44,Ne VIII,77.04,5.8,1.37E+04,,,,,,,,,,,,
Mg IX 706 - Peak,70.415,70.893,Mg IX,70.606,6,4.23E+02,,,,,,,,,,,,
S IV 750/ Mg IX (spectral bin 2),74.789,75.257,N II ,74.7,4.7,2.48E+03,S IV,75.02,5,1.71E+04,,,,,,,,
S V 786 / O IV 787 - SH (Lambda bin 2),78.358,79.118,O IV,78.71,5.2,1.29E+05,S V,78.64,5.2,5.88E+04,,,,,,,,
S V 786 / O IV 787 - LH (Lambda bin 2),78.358,79.118,O IV,78.71,5.2,1.29E+05,S V,78.64,5.2,5.88E+04,,,,,,,,
S V 786 / O IV 787 - Peak,78.49,78.967,O IV,78.771,5.2,1.29E+05,S V ,78.9,5.2,5.88E+04,,,,,,,,
(STP122) S IV 750 - Peak,74.833,75.311,S IV ,75.02,5,1.71E+04,,,,,,,,,,,,
S IV 750 - Peak,74.7646,75.242,S IV,75.02,5,1.71E+04,,,,,,,,,,,,
(STP122) O III 703 / Mg IX 706 - SH ,70.049,70.83,O III,70.39,4.9,1.20E+05,,,,,,,,,,,,
(STP122) O III 703 / Mg IX 706 - LH,70.049,70.83,O III,70.39,4.9,1.20E+05,,,,,,,,,,,,
(STP122) N IV 765 - Peak,76.276,76.754,N IV,76.51,5.1,1.18E+05,N III,76.43,4.9,1.63E+04,,,,,,,,
(STP122) Ne VIII 770 - Peak,76.812,77.29,Ne VIII,77.041,5.8,1.37E+04,,,,,,,,,,,,
(STP122) S V 786 / O IV 787 - Peak,78.49,78.967,O IV,78.771,5.2,1.29E+05,S V ,78.9,5.2,5.88E+04,,,,,,,,
(STP122) N III 991 - SH ,98.766,99.363,N III,99.16,4.8,7.76E+04,,,,,,,,,,,,
(STP122) N III 991 - LH,98.766,99.363,N III,99.16,4.8,7.76E+04,,,,,,,,,,,,
